CV	Model Size	Locus 1	Chrom	Pos	Locus 2	Chrom	Pos	Training Balanced Acc	Testing Balanced Acc	Prediction Error	Num Rules	Training True Pos	Training False Pos	Training True Neg	Training False Neg	Testing True Pos	Testing False Pos	Testing True Neg	Testing False Neg
1	1	12	1	12				53.9062	55.625	44.375	3	133	108	212	187	33	24	56	47	
1	1	6	1	6				53.5938	53.125	46.875	3	178	155	165	142	48	43	37	32	
1	1	11	1	11				52.5	57.5	42.5	3	169	153	167	151	49	37	43	31	
1	1	4	1	4				52.5	46.875	53.125	3	60	44	276	260	11	16	64	69	
1	1	10	1	10				52.0312	56.875	43.125	3	176	163	157	144	45	34	46	35	
1	1	5	1	5				52.0312	60.625	39.375	3	175	162	158	145	53	36	44	27	
1	1	8	1	8				51.4063	46.875	53.125	3	160	151	169	160	38	43	37	42	
1	1	3	1	3				51.0938	50.625	49.375	3	115	108	212	205	24	23	57	56	
1	1	9	1	9				50.9375	52.5	47.5	3	214	208	112	106	54	50	30	26	
1	1	1	1	1				50.7812	46.875	53.125	3	204	199	121	116	51	56	24	29	
1	2	10	1	10	3	1	3	58.125	58.75	41.25	9	193	141	179	127	52	38	42	28	
1	2	12	1	12	2	1	2	56.25	54.375	45.625	9	169	129	191	151	43	36	44	37	
1	2	11	1	11	8	1	8	56.0938	49.375	50.625	9	187	148	172	133	39	40	40	41	
1	2	12	1	12	3	1	3	55.7812	50.625	49.375	9	176	139	181	144	38	37	43	42	
1	2	12	1	12	11	1	11	55.625	56.25	43.75	9	158	122	198	162	43	33	47	37	
1	2	10	1	10	7	1	7	55.4688	50.625	49.375	9	171	136	184	149	39	38	42	41	
1	2	10	1	10	4	1	4	55.4688	48.125	51.875	9	104	69	251	216	18	21	59	62	
1	2	5	1	5	2	1	2	55.4688	54.375	45.625	9	237	202	118	83	56	49	31	24	
1	2	12	1	12	8	1	8	55.3125	56.875	43.125	9	170	136	184	150	41	30	50	39	
1	2	12	1	12	7	1	7	55.3125	57.5	42.5	9	169	135	185	151	43	31	49	37	
2	1	12	1	12				55	51.25	48.75	3	134	102	218	186	32	30	50	48	
2	1	11	1	11				54.375	50	50	3	178	150	170	142	40	40	40	40	
2	1	5	1	5				53.4375	55	45	3	183	161	159	137	45	37	43	35	
2	1	10	1	10				53.2812	51.875	48.125	3	178	157	163	142	43	40	40	37	
2	1	6	1	6				52.1875	58.75	41.25	3	178	164	156	142	48	34	46	32	
2	1	7	1	7				51.875	49.375	50.625	3	115	103	217	205	27	28	52	53	
2	1	4	1	4				51.875	49.375	50.625	3	200	188	132	120	52	53	27	28	
2	1	3	1	3				51.5625	46.25	53.75	3	159	149	171	161	39	45	35	41	
2	1	9	1	9				51.4063	50	50	3	152	143	177	168	43	43	37	37	
2	1	2	1	2				51.0938	47.5	52.5	3	170	163	157	150	40	44	36	40	
2	2	10	1	10	3	1	3	57.9687	59.375	40.625	9	197	146	174	123	48	33	47	32	
2	2	10	1	10	5	1	5	57.6563	52.5	47.5	9	181	132	188	139	37	33	47	43	
2	2	12	1	12	7	1	7	57.0312	51.875	48.125	9	147	102	218	173	39	36	44	41	
2	2	12	1	12	11	1	11	56.7188	51.875	48.125	9	164	121	199	156	37	34	46	43	
2	2	11	1	11	9	1	9	56.5625	49.375	50.625	9	225	183	137	95	54	55	25	26	
2	2	5	1	5	2	1	2	56.5625	51.875	48.125	9	245	203	117	75	59	56	24	21	
2	2	3	1	3	2	1	2	56.5625	42.5	57.5	9	205	163	157	115	39	51	29	41	
2	2	12	1	12	5	1	5	56.4062	51.25	48.75	9	155	114	206	165	36	34	46	44	
2	2	11	1	11	7	1	7	56.4062	48.125	51.875	9	209	168	152	111	45	48	32	35	
2	2	12	1	12	10	1	10	56.25	50.625	49.375	9	219	179	141	101	54	53	27	26	
3	1	6	1	6				54.5313	49.375	50.625	3	182	153	167	138	44	45	35	36	
3	1	11	1	11				54.375	50.625	49.375	3	121	93	227	199	28	27	53	52	
3	1	12	1	12				54.375	53.75	46.25	3	132	104	216	188	34	28	52	46	
3	1	5	1	5				54.375	51.25	48.75	3	189	161	159	131	39	37	43	41	
3	1	10	1	10				53.4375	51.25	48.75	3	181	159	161	139	40	38	42	40	
3	1	7	1	7				51.5625	50.625	49.375	3	115	105	215	205	27	26	54	53	
3	1	4	1	4				51.4063	51.25	48.75	3	200	191	129	120	52	50	30	28	
3	1	9	1	9				51.25	51.25	48.75	3	217	209	111	103	51	49	31	29	
3	1	8	1	8				51.0938	48.125	51.875	3	162	155	165	158	36	39	41	44	
3	1	3	1	3				50.9375	51.25	48.75	3	116	110	210	204	23	21	59	57	
3	2	10	1	10	3	1	3	59.2188	54.375	45.625	9	201	142	178	119	44	37	43	36	
3	2	10	1	10	5	1	5	57.8125	53.125	46.875	9	198	148	172	122	43	38	42	37	
3	2	11	1	11	7	1	7	56.4062	51.25	48.75	9	143	102	218	177	30	28	52	50	
3	2	11	1	11	4	1	4	56.25	43.125	56.875	9	174	134	186	146	35	46	34	45	
3	2	11	1	11	8	1	8	56.0938	50	50	9	227	188	132	93	51	51	29	29	
3	2	5	1	5	4	1	4	56.0938	48.75	51.25	9	171	132	188	149	37	39	41	43	
3	2	12	1	12	7	1	7	55.9375	55	45	9	169	131	189	151	43	35	45	37	
3	2	12	1	12	6	1	6	55.9375	51.875	48.125	9	241	203	117	79	61	58	22	19	
3	2	11	1	11	3	1	3	55.7812	52.5	47.5	9	116	79	241	204	30	26	54	50	
3	2	5	1	5	2	1	2	55.7812	53.125	46.875	9	208	171	149	112	49	44	36	31	
4	1	12	1	12				55.1563	50.625	49.375	3	192	159	161	128	37	36	44	43	
4	1	5	1	5				54.375	51.25	48.75	3	180	152	168	140	48	46	34	32	
4	1	6	1	6				53.5938	53.125	46.875	3	182	159	161	138	44	39	41	36	
4	1	10	1	10				53.4375	51.25	48.75	3	175	153	167	145	46	44	36	34	
4	1	11	1	11				53.125	55.625	44.375	3	121	101	219	199	28	19	61	52	
4	1	4	1	4				52.1875	48.125	51.875	3	209	195	125	111	43	46	34	37	
4	1	3	1	3				51.25	47.5	52.5	3	274	266	54	46	67	71	9	13	
